Date,Close
2005-07-18,1849.81005859375
2005-07-25,1851.3699951171875
2005-08-01,1840.18994140625
2005-08-08,1847.31005859375
2005-08-15,1832.2900390625
2005-08-22,1810.52001953125
2005-08-29,1831.06005859375
2005-09-05,1866.739990234375
2005-09-12,1862.1099853515625
2005-09-19,1828.5400390625
2005-09-26,1849.3299560546875
2005-10-03,1800.7099609375
2005-10-10,1787.010009765625
2005-10-17,1776.72998046875
2005-10-24,1805.56005859375
2005-10-31,1839.1600341796875
2005-11-07,1862.56005859375
2005-11-14,1883.989990234375
2005-11-21,1914.4100341796875
2005-11-28,1910.8599853515625
2005-12-05,1902.9200439453125
2005-12-12,1915.4000244140625
2005-12-19,1918.25
2005-12-26,1887.93994140625
2006-01-02,1945.02001953125
2006-01-09,1948.6400146484375
2006-01-16,1909.3499755859375
2006-01-23,1943.3399658203125
2006-01-30,1914.5
2006-02-06,1920.0
2006-02-13,1951.8299560546875
2006-02-20,1956.1400146484375
2006-02-27,1953.739990234375
2006-03-06,1945.9300537109375
2006-03-13,1985.68994140625
2006-03-20,1979.239990234375
2006-03-27,1967.3800048828125
2006-04-03,1969.300048828125
2006-04-10,1960.010009765625
2006-04-17,1993.989990234375
2006-04-24,1993.7900390625
2006-05-01,2017.3399658203125
2006-05-08,1966.27001953125
2006-05-15,1930.27001953125
2006-05-22,1950.8699951171875
2006-05-29,1964.1099853515625
2006-06-05,1910.010009765625
2006-06-12,1909.52001953125
2006-06-19,1899.3199462890625
2006-06-26,1939.030029296875
2006-07-03,1932.75
2006-07-10,1888.4300537109375
2006-07-17,1894.93994140625
2006-07-24,1953.8599853515625
2006-07-31,1956.050048828125
2006-08-07,1938.1300048828125
2006-08-14,1993.4300537109375
2006-08-21,1982.81005859375
2006-08-28,2008.469970703125
2006-09-04,1990.43994140625
2006-09-11,2023.3499755859375
2006-09-18,2016.0899658203125
2006-09-25,2048.889892578125
2006-10-02,2071.050048828125
2006-10-09,2095.969970703125
2006-10-16,2100.860107421875
2006-10-23,2114.64990234375
2006-10-30,2095.679931640625
2006-11-06,2122.260009765625
2006-11-13,2154.800048828125
2006-11-20,2154.9599609375
2006-11-27,2149.85009765625
2006-12-04,2170.840087890625
2006-12-11,2198.070068359375
2006-12-18,2173.89990234375
2006-12-25,2186.1298828125
2007-01-01,2173.2900390625
2007-01-08,2206.679931640625
2007-01-15,2206.60009765625
2007-01-22,2193.889892578125
2007-01-29,2235.389892578125
2007-02-05,2220.719970703125
2007-02-12,2249.070068359375
2007-02-19,2243.260009765625
2007-02-26,2145.429931640625
2007-03-05,2170.6201171875
2007-03-12,2146.929931640625
2007-03-19,2223.1201171875
2007-03-26,2200.1201171875
2007-04-02,2236.7099609375
2007-04-09,2251.1201171875
2007-04-16,2300.080078125
2007-04-23,2315.699951171875
2007-04-30,2334.610107421875
2007-05-07,2336.47998046875
2007-05-14,2363.969970703125
2007-05-21,2353.419921875
2007-05-28,2386.6298828125
2007-06-04,2342.97998046875
2007-06-11,2382.969970703125
2007-06-18,2336.409912109375
2007-06-25,2338.25
2007-07-02,2381.590087890625
2007-07-09,2416.280029296875
2007-07-16,2387.9599609375
2007-07-23,2271.409912109375
2007-07-30,2231.97998046875
2007-08-06,2265.360107421875
2007-08-13,2254.679931640625
2007-08-20,2307.219970703125
2007-08-27,2299.7099609375
2007-09-03,2269.320068359375
2007-09-10,2318.110107421875
2007-09-17,2383.56005859375
2007-09-24,2385.719970703125
2007-10-01,2435.159912109375
2007-10-08,2442.1201171875
2007-10-15,2346.780029296875
2007-10-22,2401.070068359375
2007-10-29,2362.2099609375
