Date,Open,High,Low,Close,Volume,Average,Barcount
2005-07-22,122.5,125.25,122.05,123.5,284584400.0,122.875,430302
2005-07-29,123.41,124.64,122.85,123.77,234825900.0,123.661,420807
2005-08-05,123.8,128.28,121.89,122.9,204721400.0,123.828,343457
2005-08-12,123.17,129.3,122.22,123.08,267347700.0,123.365,411420
2005-08-19,123.22,123.87,115.88,122.49,247023500.0,122.609,451791
2005-08-26,122.58,123.23,120.68,120.72,272982700.0,121.863,453519
2005-09-02,120.41,128.6,120.0,122.25,311725000.0,121.646,526229
2005-09-09,122.67,124.74,122.65,124.57,161381300.0,123.728,284911
2005-09-16,124.44,124.67,122.87,123.54,247831800.0,123.579,422454
2005-09-23,123.45,131.37,120.44,121.45,335696000.0,121.876,554975
2005-09-30,122.02,123.05,120.69,123.02,282772600.0,121.869,484137
2005-10-07,122.96,123.34,112.09,119.66,381496400.0,120.561,525086
2005-10-14,119.68,119.71,116.88,118.68,379112200.0,118.26,507986
2005-10-21,118.77,119.92,117.12,118.13,427538200.0,118.451,506445
2005-10-28,118.44,120.54,109.22,119.8,341247900.0,119.309,443543
2005-11-04,120.29,122.66,120.0,122.11,318206200.0,121.323,458431
2005-11-11,122.4,123.84,121.0,123.78,234962800.0,122.551,360017
2005-11-18,123.76,126.06,122.86,125.12,287729300.0,123.896,406650
2005-11-25,125.16,127.41,124.98,127.1,151140500.0,126.145,256013
2005-12-02,127.25,129.69,125.01,126.87,241364100.0,126.455,465369
2005-12-09,126.64,127.74,123.34,126.29,261199500.0,126.467,505685
2005-12-16,126.71,137.32,121.71,126.4,260462400.0,127.165,403655
2005-12-23,126.73,126.87,125.48,126.73,187867800.0,126.259,333201
2005-12-30,126.92,127.05,124.36,124.46,137992300.0,125.515,266016
2006-01-06,125.1,128.58,124.39,128.45,204365500.0,126.902,356345
2006-01-13,128.42,129.44,125.78,128.65,200324900.0,128.766,418165
2006-01-20,128.2,128.77,120.89,126.02,277921400.0,127.632,611483
2006-01-27,126.21,128.66,125.84,128.53,291853600.0,127.005,613833
2006-02-03,128.44,128.81,126.14,126.3,286001700.0,127.584,495130
2006-02-10,126.44,137.33,125.4,126.65,270631600.0,126.347,460226
2006-02-17,126.57,129.98,125.95,128.82,288689700.0,127.746,420136
2006-02-24,129.12,129.65,128.29,129.37,143468300.0,129.049,237665
2006-03-03,129.4,130.07,128.13,128.81,255752400.0,129.05,403774
2006-03-10,129.14,129.9,127.18,128.57,268486600.0,128.091,399947
2006-03-17,128.84,131.47,128.53,130.59,244417700.0,130.103,369302
2006-03-24,130.64,9130.03,128.96,130.23,241768500.0,130.172,337325
2006-03-31,130.03,130.98,128.29,129.84,279120200.0,129.922,399631
2006-04-07,130.07,131.4,129.35,129.56,272260300.0,130.412,459885
2006-04-14,129.71,130.08,128.1,128.74,191712100.0,129.022,286970
2006-04-21,128.79,134.34,128.02,131.1,357804100.0,130.425,445637
2006-04-28,130.93,131.75,129.59,131.43,345977800.0,130.752,455652
2006-05-05,131.46,132.8,130.3,132.55,251279600.0,131.352,310918
2006-05-12,132.52,133.33,128.27,129.28,256327400.0,131.307,290922
2006-05-19,128.79,130.79,12.0,127.04,451137500.0,127.917,487856
2006-05-26,126.28,128.38,124.76,128.33,436205800.0,126.533,473173
2006-06-02,127.97,137.38,126.05,129.03,275416100.0,127.776,310684
2006-06-09,128.79,128.86,120.7,125.35,566441600.0,126.234,548586
2006-06-16,125.89,126.36,122.34,124.76,561465100.0,124.197,575399
2006-06-23,125.4,125.7,123.55,124.43,328652800.0,124.554,382553
2006-06-30,124.54,127.66,123.65,127.25,292014100.0,125.435,353207
2006-07-07,127.43,128.01,126.29,126.65,183215600.0,127.158,215148
2006-07-14,126.94,129.48,122.83,123.55,381033700.0,125.469,412569
2006-07-21,123.5,126.3,122.39,123.86,491088100.0,124.523,493744
2006-07-28,124.44,136.64,124.44,127.97,404718300.0,126.647,393600
2006-08-04,127.68,129.43,126.55,128.21,294265500.0,127.815,318544
2006-08-11,127.9,128.6,126.28,127.0,301427300.0,127.428,336738
2006-08-18,127.63,130.69,126.92,130.65,295098300.0,129.104,345941
2006-08-25,130.18,139.32,129.19,129.85,245915100.0,129.896,281530
2006-09-01,129.66,131.58,129.64,131.44,223968200.0,130.672,281788
2006-09-08,131.51,131.85,120.22,130.2,205918100.0,130.54,246820
2006-09-15,129.86,132.45,129.48,131.9,290199200.0,131.412,351779
2006-09-22,131.8,133.4,130.46,131.52,351850600.0,131.876,404168
2006-09-29,131.73,134.0,131.05,133.65,313600300.0,133.087,361437
2006-10-06,133.54,135.57,132.49,134.88,301156600.0,134.119,343757
2006-10-13,134.85,136.71,134.3,136.58,284607700.0,135.416,327626
2006-10-20,136.52,137.5,127.29,136.83,296894500.0,136.512,303021
2006-10-27,136.56,139.92,128.27,137.81,309707700.0,137.962,356791
2006-11-03,137.66,138.31,130.78,136.44,292404100.0,137.304,330039
2006-11-10,136.96,139.14,136.67,138.3,321237400.0,138.3,337890
2006-11-17,138.18,141.58,137.64,140.44,305018200.0,139.589,337089
2006-11-24,140.3,149.86,140.0,140.39,164721800.0,140.53,201561
2006-12-01,140.29,141.05,137.19,140.35,432637300.0,139.559,499291
2006-12-08,140.25,144.71,140.23,141.42,316188800.0,141.441,398762
2006-12-15,141.42,143.24,140.64,142.34,268756000.0,142.089,343819
2006-12-22,142.54,142.88,140.65,140.68,237758000.0,141.819,325562
2006-12-29,140.82,142.7,140.27,141.6,138149200.0,142.016,202984
2007-01-05,142.25,144.78,140.38,140.47,207986600.0,141.408,291263
2007-01-12,140.82,143.35,140.2,143.27,290074200.0,141.468,400941
2007-01-19,143.07,143.46,142.31,142.95,199679000.0,142.866,284888
2007-01-26,143.07,145.95,134.4,142.22,293433100.0,142.625,392987
2007-02-02,142.19,144.95,141.74,144.78,303403000.0,143.347,386764
2007-02-09,144.7,146.11,143.39,143.9,286452000.0,144.649,369176
2007-02-16,143.94,145.95,143.19,145.73,248014400.0,144.76,316682
2007-02-23,145.56,146.42,144.06,145.35,251099800.0,145.642,358267
2007-03-02,145.83,145.95,138.05,138.94,764057800.0,141.216,762046
2007-03-09,137.92,141.42,137.08,140.61,545458700.0,139.717,612340
2007-03-16,140.42,141.34,136.5,138.21,658386100.0,139.079,769916
2007-03-23,139.26,143.81,138.89,143.45,478932800.0,141.992,616072
2007-03-30,143.5,143.9,140.56,142.0,583025000.0,142.199,787551
2007-04-06,142.16,1441.65,140.89,144.31,256979900.0,143.635,383100
2007-04-13,144.59,145.32,142.66,145.24,391437200.0,144.38,519845
2007-04-20,145.86,148.62,145.54,148.59,455050800.0,147.196,622152
2007-04-27,148.37,149.97,140.56,149.65,453322300.0,148.749,601778
2007-05-04,149.63,151.56,140.93,150.94,469078600.0,149.394,686481
2007-05-11,150.88,152.82,149.27,150.91,486674000.0,150.497,631331
2007-05-18,150.86,152.65,149.79,152.58,564793900.0,151.197,748535
2007-05-25,152.58,1511.7,150.74,151.8,518523300.0,152.426,731622
2007-06-01,151.94,154.4,150.5,153.88,398449400.0,152.926,508587
2007-06-08,153.53,161.9,143.46,151.1,729824700.0,151.624,923207
2007-06-15,150.96,153.66,149.35,152.97,699509500.0,151.57,871254
2007-06-22,153.36,153.79,149.85,150.7,731353700.0,151.795,924186
2007-06-29,150.24,151.65,113.35,150.32,932248800.0,150.013,1227065
2007-07-06,152.17,153.17,151.63,152.92,196553700.0,152.343,313428
2007-07-13,153.15,155.46,150.52,154.91,621088800.0,152.693,914824
2007-07-20,154.99,156.0,152.25,153.47,805917500.0,154.424,1172302
2007-07-27,154.29,154.72,47.5,145.3,1391870800.0,149.69,2052078
2007-08-03,145.89,149.46,143.2,143.6,1575462800.0,146.242,2182359
2007-08-10,144.22,154.53,37.55,145.05,1534856100.0,146.406,2301894
2007-08-17,146.5,154.54,137.0,144.8,1544182500.0,142.495,2345728
2007-08-24,145.13,148.42,143.11,148.39,782510300.0,145.777,1255355
2007-08-31,147.87,148.5,143.46,147.57,836749100.0,146.136,1271336
2007-09-07,147.47,149.98,145.26,146.25,574814100.0,147.414,909612
2007-09-14,146.51,149.45,144.33,148.93,690746600.0,147.359,1078652
2007-09-21,148.29,154.39,147.63,152.05,752973900.0,151.605,1195464
2007-09-28,152.43,153.31,150.47,152.65,584202000.0,152.113,945944
2007-10-05,152.61,156.1,152.5,156.0,529734200.0,154.281,844796
2007-10-12,155.39,157.52,154.54,156.43,577876400.0,155.819,879134
2007-10-19,156.27,156.48,149.27,149.4,896279200.0,153.25,1403066
2007-10-26,148.83,153.97,148.0,153.8,1077052200.0,150.854,1597456
2007-11-02,153.92,155.27,149.21,151.38,1008385700.0,152.326,1516687
2007-11-09,149.63,152.11,144.85,144.87,1244968800.0,148.328,1815660
2007-11-16,145.2,149.4,143.44,145.95,1112252900.0,146.274,1577200
2007-11-23,145.28,148.7,141.67,143.95,943982800.0,143.617,1374340
2007-11-30,144.38,149.87,140.66,148.55,1057693600.0,145.213,1623275
2007-12-07,148.21,156.49,146.31,150.88,664761100.0,148.752,1052489
2007-12-14,151.25,161.61,147.1,147.12,896034100.0,149.439,1434984
2007-12-21,146.62,148.43,143.96,148.32,835050000.0,146.089,1275620
2007-12-28,148.74,149.68,146.9,147.38,300930700.0,148.331,457000
